stop_nr;hum;temp;time;time_start;time_end;sensor_ID;round_nr
0;62.3;25.0;2021-08-05 17:37:13.517960;2021-08-05 17:37:04.830191;2021-08-05 17:37:14.840891;0;0
1;62.4;25.0;2021-08-05 17:37:49.605001;2021-08-05 17:37:41.493748;2021-08-05 17:37:51.501445;1;0
2;62.2;25.0;2021-08-05 17:38:07.650552;2021-08-05 17:37:59.289392;2021-08-05 17:38:09.297495;2;0
3;62.2;25.0;2021-08-05 17:38:25.692363;2021-08-05 17:38:16.031447;2021-08-05 17:38:26.041425;3;0
4;62.1;25.0;2021-08-05 17:38:41.730936;2021-08-05 17:38:33.521236;2021-08-05 17:38:43.531762;4;0
5;62.1;25.0;2021-08-05 17:38:59.776438;2021-08-05 17:38:51.761883;2021-08-05 17:39:01.769371;5;0
6;62.1;25.0;2021-08-05 17:39:19.824956;2021-08-05 17:39:10.534865;2021-08-05 17:39:20.545357;6;0
7;62.0;25.0;2021-08-05 17:39:37.866433;2021-08-05 17:39:28.300766;2021-08-05 17:39:38.311811;7;0
8;61.9;25.0;2021-08-05 17:39:53.905264;2021-08-05 17:39:45.606971;2021-08-05 17:39:55.617409;8;0
9;61.9;25.0;2021-08-05 18:31:34.359794;2021-08-05 17:40:02.338128;2021-08-05 18:31:34.754418;9;0
10;61.9;25.0;2021-08-05 18:31:50.398567;2021-08-05 18:31:40.712357;2021-08-05 18:31:50.722395;10;0
11;61.8;25.0;2021-08-05 18:32:06.463879;2021-08-05 18:31:56.794195;2021-08-05 18:32:06.804816;11;0
12;61.8;25.0;2021-08-05 18:32:22.563469;2021-08-05 18:32:13.848205;2021-08-05 18:32:23.858769;12;0
13;62.2;25.5;2021-08-05 18:32:38.576909;2021-08-05 18:32:30.071389;2021-08-05 18:32:40.078794;13;0
14;61.9;25.0;2021-08-05 18:32:56.545800;2021-08-05 18:32:48.200770;2021-08-05 18:32:58.211393;14;0
15;61.9;25.0;2021-08-05 18:33:14.573081;2021-08-05 18:33:05.667568;2021-08-05 18:33:15.674385;15;0
16;61.9;25.0;2021-08-05 18:33:34.615267;2021-08-05 18:33:24.677970;2021-08-05 18:33:34.686667;0;1
17;62.1;25.0;2021-08-05 18:33:56.655203;2021-08-05 18:33:46.942289;2021-08-05 18:33:56.950407;1;1
18;62.1;25.0;2021-08-05 18:34:14.688106;2021-08-05 18:34:04.765176;2021-08-05 18:34:14.774399;2;1
19;62.4;25.0;2021-08-05 18:34:42.717283;2021-08-05 18:34:33.320797;2021-08-05 18:34:43.330373;3;1
20;62.1;25.0;2021-08-05 18:34:58.741202;2021-08-05 18:34:49.919319;2021-08-05 18:34:59.926392;4;1
21;62.1;25.0;2021-08-05 18:35:18.774794;2021-08-05 18:35:08.905419;2021-08-05 18:35:18.914352;5;1
22;62.1;25.0;2021-08-05 18:35:36.804995;2021-08-05 18:35:28.181348;2021-08-05 18:35:38.190332;6;1
23;61.8;25.0;2021-08-05 18:35:54.840319;2021-08-05 18:35:45.867850;2021-08-05 18:35:55.878379;7;1
24;61.9;25.0;2021-08-05 18:36:10.870365;2021-08-05 18:36:02.642141;2021-08-05 18:36:12.652699;8;1
